mean_sound,max_sound,distractions,focus
0.55,115,4,8
7.11,230,6,6
0.65,243,3,7
6.54,152,8,6
16.10,218,15,2
0.52,123,3,9
0.58,122,4,8
14.89,215,5,5
0.50,255,3,9
15.00,212,14,2
5.66,150,7,6
16.45,255,14,3
13.75,255,16,4
0.43,117,1,10
14.56,217,13,2
0.60,120,1,9
17.30,225,4,3
0.49,119,2,9
5.95,145,9,5
6.25,155,8,5
0.47,110,2,10
0.45,118,2,8
15.20,255,15,1
6.75,233,14,4
16.47,145,14,2
12.78,231,15,1
10.53,236,14,4
3.06,154,3,8
3.06,186,12,4
1.41,172,7,5
15.04,152,4,6
10.57,198,16,3
0.27,127,0,10
0.2,103,0,10
0.14,180,0,10
0.13,115,0,10
5.84,104,0,10
0.19,88,0,10
